A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
          0,          1, 1, 0,         -1,1,1,0
         -1,         -2, 1, 0,          1,1,0,0
         -2,          4, 1, 0,         -6,1,1,0
         -4,         -8, 1, 0,          4,1,0,0
         -8,         16, 1, 0,        -24,1,1,0
        -16,        -32, 1, 0,         16,1,0,0
        -32,         64, 1, 0,        -96,1,1,0
        -64,       -128, 1, 0,         64,1,0,0
